scenario_id,run,analysis_role,interface,nim,timestamp_start,timestamp_end,http_observation,expected,actual,error_message,inline_validation,toast_notification,students_before,students_after,add_logs_before,add_logs_after,state_unchanged,status,screenshot,notes
F-DUP-NIM-APP-1,duplikat-nim-ui-final-20260809,first_pass,browser_ui_automation,20210001,2026-08-09T08:32:40.127Z,2026-08-09T08:32:42.389Z,server action response rendered in form; no raw Prisma/database error,ditolak aplikasi sebelum penyimpanan,ditolak sebelum penyimpanan,NIM 20210001 sudah terdaftar. Gunakan NIM lain.,true,true,1,1,0,0,true,pass,F-DUP-NIM-APP-1.png,visible_exact_message_nodes=2; data sintetis; jalur form aktual
F-DUP-NIM-APP-2,duplikat-nim-ui-final-20260809,first_pass,browser_ui_automation,20210002,2026-08-09T08:32:42.401Z,2026-08-09T08:32:44.357Z,server action response rendered in form; no raw Prisma/database error,ditolak aplikasi sebelum penyimpanan,ditolak sebelum penyimpanan,NIM 20210002 sudah terdaftar. Gunakan NIM lain.,true,true,1,1,0,0,true,pass,F-DUP-NIM-APP-2.png,visible_exact_message_nodes=2; data sintetis; jalur form aktual
F-DUP-NIM-APP-3,duplikat-nim-ui-final-20260809,first_pass,browser_ui_automation,20210003,2026-08-09T08:32:44.369Z,2026-08-09T08:32:46.337Z,server action response rendered in form; no raw Prisma/database error,ditolak aplikasi sebelum penyimpanan,ditolak sebelum penyimpanan,NIM 20210003 sudah terdaftar. Gunakan NIM lain.,true,true,1,1,0,0,true,pass,F-DUP-NIM-APP-3.png,visible_exact_message_nodes=2; data sintetis; jalur form aktual
