run,attempt,scenario_id,timestamp_start,timestamp_end,latency_ms,status,expected,actual,sender,contract_address,token_id,tx_hash,receipt_status,gas_limit,gas_used,block_number,block_timestamp,revert_name,revert_reason,required_role,sender_has_required_role,next_token_before,next_token_after,owner_before,owner_after,active_before,active_after,balance_before_wei,balance_after_wei,pin_added,state_unchanged,notes
smart-contract-negative-final-20260810,1,SC-RBAC-01,2026-08-09T20:37:33.471Z,2026-08-09T20:37:37.051Z,3580,pass,revert AccessControlUnauthorizedAccount,receipt status 0; revert sesuai; state tidak berubah,0x2C9B3d6b80E463EEC0d0E5dFD4741A3B2C1B1503,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,,0x63d3b449a43e90eb4d397a0f1b51b5d09776875f079c266badc2e94d3866bec7,0,500000,30336,44489417,2026-08-09T20:37:38.000Z,AccessControlUnauthorizedAccount,AccessControlUnauthorizedAccount,0xbcce9c54d98f81812f5cc47e5760a64da361e6400aea9ea517c6e9c4af93512a,false,1201,1201,,,,,999388899998677000,998478819996765832,0,true,wallet eksternal tanpa role; input sintetis; tanpa unggah IPFS
smart-contract-negative-final-20260810,1,SC-TRANSFER-01,2026-08-09T20:37:37.069Z,2026-08-09T20:37:41.660Z,4591,pass,revert Transfer diblokir,receipt status 0; revert sesuai; state tidak berubah,0x80EBA46e25Ed50c09a20E90f7C398bf5aeAe3566,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,1002,0x5d46f2b44dc95dade039a7b44adfd7d7da3670f131ed715a61b8f72a157212a3,0,300000,28262,44489421,2026-08-09T20:37:42.000Z,Error,Transfer diblokir: ijazah tidak dapat dipindahtangankan,0xbcce9c54d98f81812f5cc47e5760a64da361e6400aea9ea517c6e9c4af93512a,true,1201,1201,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,true,true,12980100547720857076,12979252687719076570,0,true,transferFrom token aktif #1002; owner kontrak tetap
