case_id,group,nim,token_id,artifact_type,source_cid,tampered_cid,source_cipher_sha256,tampered_cipher_sha256,source_plain_sha256,tampered_plain_sha256,tamper_offset,detection,status,gateway_http_status,pin_added,latency_ms,notes
TAMPER-SINGLE-PDF,single,20210001,1001,pdf,bafybeib63t4cgtyjbrefljkm5flg62hujqc3m6eskrcbc4zdrh647kjqnq,bafybeic46aqfznrb3so4iomxkqjrqokzajxpdp3m5jys5foemo72qv7pwa,bacf33bf3fdc345a9e8cd9bcdc8718301c9310243901b6e66561df45532a7a15,a6159be5d63f4352e81293fb5b57f8ee0a4545c572fa9c4940b085e0c12d3cbf,89ef95fef5143ad456a1e1c17b938d0e6790fb97a6df1f172c383ce6da2b7444,10013599f87b7df0aa8813b5554ec8213d4ac94632dc343faada5f1fb5e56de3,224140,plaintext_hash_mismatch,pass,200,1,11710,salinan terenkripsi dimodifikasi; CID asli database dan blockchain tidak diubah
TAMPER-SINGLE-METADATA,single,20210001,1001,metadata,bafkreiexj23jwhqapalnjiyxzrr4myw2pdkjumtxm4rks52ksxsjw3zqba,bafkreidmg633an7grac3q7nb5ewfrjofk426f5ymtw7efn7au2pi5hguna,974eb69b1e007816d4a317cc63c662da78d49a32776722a9774a95e49b6f3008,6c37b7b037e68805b87da1e92c58a5c55735e2f70c9dbe42b7e0a69e8e9cd468,e9d57829f97619fedc354eec223f97fcda224007f61f4867f6b5495d07c63128,88ceaf028f9af24a236b47bd9391c96d4380440333fee3bcc50b20a03be816d3,396,json_parse_failed,pass,200,1,15800,salinan terenkripsi dimodifikasi; CID asli database dan blockchain tidak diubah
TAMPER-BATCH5-PDF,batch5,20210031,1031,pdf,bafybeigj47sirx2loi446inbubjw7r2sdiowold4z3ue7rfd6luyjkk35a,bafybeihg5t6u3hrllvnvrnhinlsk6lw76ivkt2u5ezjbcuoibmqvcit5uy,47fe80f068d1effef0305de55a60c872edd31635ae983e526e0d53c8acb581b0,55147c5bcb5291121e5469404350280d656440f765a13f02a12eb5c7e6e2ff4b,67603d9bd9ba98bf152f0028103b57674cee64eec318cf62e7c95a0d8f76b3f0,,224710,decryption_failed,pass,200,1,91653,salinan terenkripsi dimodifikasi; CID asli database dan blockchain tidak diubah
TAMPER-BATCH5-METADATA,batch5,20210031,1031,metadata,bafkreiacr3qaevohkrjjovawq54y3dty233qj4unjsewf6xh36brlg7o5y,bafkreicmya22kwm3xcvwo7tawq7rjc34s2x6alarxrfeydjyedsu2e4rkm,028ee00255c7545297541687798d8e78d6f704f28d4c8962fae7df83159beeee,4cc035a5599bb8ab677e60b43f148b7c96afe02c11bc4a4c0d3820e54d139153,3081bb8c6016fcd204cebc35ac9ff2b26a99a2165390faa95a27aad882755fdc,c3d6635e35d3a7921c516f003d1852d47bdb5273681bbbaf4163a3b20bd0df81,412,json_parse_failed,pass,200,1,7672,salinan terenkripsi dimodifikasi; CID asli database dan blockchain tidak diubah
TAMPER-BATCH50-PDF,batch50,20210151,1151,pdf,bafybeig36oibbjq54kipxyjxtfsm44m5nj47yormkzvedjvnru67nc2nwu,bafybeigiqena2k2xpdocl4by7yw3uikfdopshlmulqaahtpyaumzyuvkxi,07fec99962e6c04126450e760f36a4726c93203ae034526a6e608805ba23ee11,6c444efd5e9961393e1b56517f44777cbd4bed2bd064e558755d2f3b576b53fb,54d991840f6c87dfe92289ce3c937be364e2b036509fbbe219312f06ba23be3d,,224438,decryption_failed,pass,200,1,9861,salinan terenkripsi dimodifikasi; CID asli database dan blockchain tidak diubah
TAMPER-BATCH50-METADATA,batch50,20210151,1151,metadata,bafkreig6quddzckwkqa27h5a7vhocibxrvvhnlymhwljb7pq4vray7z64i,bafkreiacctvjjbexdjynyt4m5q5oy675jgicuwcy6qdhvd3j5chc4o76mu,de85063c89565401af9fa0fd4ee120378d6a76af0c3d9690fdf0e5620c7f3ee2,0214ea9484971a70dc4f8cec3aec7bfd49902a5858f4067a8f69e88e2e3bfe65,e9055877bc375b3662ba9edee97677b8a914204bd9d5353edbe89e793050a56d,51876aa5a10b6ddd4ca86e3d6a1fd6e337fcb3fa76711f7cea83e1f784dcd10a,396,json_parse_failed,pass,200,1,7707,salinan terenkripsi dimodifikasi; CID asli database dan blockchain tidak diubah
